,sector,qf_code,title,download_link
877,Capital Goods & Manufacturing,2019/CCM/WB/3573,Boiler Quality High Pressure Welder.,https://nqr.gov.in/sites/default/files/Application%20for%20%20Boiler%20Quality%20High%20Pressure%20Welder%2C%20revised%20on%2001.07.2019..pdf
878,Healthcare,2019/HLT/HSSC/3360,Hospital Front Desk Coordinator,https://nqr.gov.in/sites/default/files/QF%20Hospital%20Front%20Desk%20Coordinator..pdf
879,Healthcare,2019/HLT/HSSC/3363,Panchakarma Technician,https://nqr.gov.in/sites/default/files/Q%20File%20Panchakarma%20Technician..pdf
880,Healthcare,2019/HLT/HSSC/3358,Patient Relations Associate,https://nqr.gov.in/sites/default/files/QF%20Patient%20Relations%20Associate..pdf
881,Healthcare,2019/HLT/HSSC/3362,Yoga Therapy Assistant: (Options: Diabetes/Palliative Care),https://nqr.gov.in/sites/default/files/Q%20File%20%20Yoga%20Therapy%20Assistant..pdf
882,Capital Goods & Manufacturing,2019/CCM/WB/3574,Advanced Boiler Quality High Pressure Welder.,https://nqr.gov.in/sites/default/files/Application%20for%20Advanced%20Boiler%20Quality%20High%20Pressure%20Welder%20rrvised%20on%2001.07.2019.pdf
883,Agriculture,2019/AGR/ASCI/3243,Farm Worker,https://nqr.gov.in/sites/default/files/QF-%20Farm%20Worker.pdf
884,Agriculture,2019/AGR/ASCI/3250,Gardener cum Nursery Raiser,https://nqr.gov.in/sites/default/files/QF-%20Gardener%20cum%20Nursery%20Raiser.pdf
885,Healthcare,2019/HLT/HSSC/3361,General Duty Assistant-Advanced Options: (Critical Care/Maternal & Newborn Care/ Dialysis/ Parturition),https://nqr.gov.in/sites/default/files/QF.%20GDA%20Advanced.pdf
886,Agriculture,2019/AGR/ASCI/3270,Goat Farmer,https://nqr.gov.in/sites/default/files/QF-%20Goat%20Farmer.pdf
887,Agriculture,2019/AGR/ASCI/3251,Heritage Gardner,https://nqr.gov.in/sites/default/files/QF-%20heritage%20Gardener.pdf
888,Agriculture,2019/AGR/ASCI/3246,Horticulture Supervisor (Electives: garden/Nursery/Turf),https://nqr.gov.in/sites/default/files/QF-%20Horticulture%20Supervisor.pdf
889,Agriculture,2019/AGR/ASCI/3242,Jute and Mesta Cultivator,https://nqr.gov.in/sites/default/files/QF-%20Jute%20%26%20Mesta%20Cultivator.pdf
890,Agriculture,2019/AGR/ASCI/3264,Lac Cultivator,https://nqr.gov.in/sites/default/files/QF-%20lac%20Cultivator.pdf
891,Agriculture,2019/AGR/ASCI/3266,Assistant Equine Breeder,https://nqr.gov.in/sites/default/files/QF-%20Assistant%20Equine%20Breeder.pdf
892,Agriculture,2019/AGR/ASCI/3259,Commodity Account Manager,https://nqr.gov.in/sites/default/files/QF-%20Commodity%20Account%20Manager.pdf
893,Agriculture,2019/AGR/ASCI/3267,Equine Farrier,https://nqr.gov.in/sites/default/files/QF-%20Equine%20Farrier.pdf
894,Leather,2019/LT/CSIR/3140,Short Term Executive Skill Development,https://nqr.gov.in/sites/default/files/QF.%20Executive%20SDP%20-%20ELP.pdf
895,Agriculture,2019/AGR/ASCI/3269,Equine Groom,https://nqr.gov.in/sites/default/files/QF-%20Equine%20Groom.pdf
896,Leather,2019/LT/CSIR/3142,Short Term Executive Skill Development,https://nqr.gov.in/sites/default/files/Executive%20SDP-%20Garments%20QF.pdf
897,Agriculture,2019/AGR/ASCI/3268,Horse Trainer,https://nqr.gov.in/sites/default/files/QF-%20Horse%20Trainer.pdf
898,Agriculture,2019/AGR/ASCI/3265,Stud Farm Worker,https://nqr.gov.in/sites/default/files/QF-%20Stud%20Farm%20Worker.pdf
899,Leather,2019/LT/CSIR/3141,Short Term Executive Skill Development,https://nqr.gov.in/sites/default/files/Executive%20SDP%20-%20Goods%20QF.pdf
900,Agriculture,2019/AGR/ASCI/3258,Electronic Trading Supervisor-Agri Commodity,https://nqr.gov.in/sites/default/files/NSQF-QF-Electronic%20Trading%20Supervisor-Agri%20Commodity.pdf
901,Agriculture,2019/AGR/ASCI/3249,Vineyard Worker,https://nqr.gov.in/sites/default/files/QF-%20Vineyard%20Worker.pdf
902,Agriculture,2019/AGR/ASCI/3248,Vineyard Grower,https://nqr.gov.in/sites/default/files/QF-%20Vineyard%20grower.pdf
903,Leather,2019/LT/CSIR/3137,Diploma in Leather Garments,https://nqr.gov.in/sites/default/files/Qualification%20File%20-%20Garments.pdf
904,Agriculture,2019/AGR/ASCI/3262,Agri Warehouse Supervisor,https://nqr.gov.in/sites/default/files/QF-%20Agri%20Warehouse%20Supervisor.pdf
905,Leather,2019/LT/CSIR/3138,Diploma in Leather Goods,https://nqr.gov.in/sites/default/files/Qualification%20File%20-%20Goods.pdf
906,Leather,2019/LT/CSIR/3136,Diploma in Leather Processing,https://nqr.gov.in/sites/default/files/Qualification%20File%20-%20Leather%20Processing.pdf
907,Leather,2019/LT/CSIR/3139,Post Graduate Diploma in Leather Technology,https://nqr.gov.in/sites/default/files/Qualification%20File%20-%20PG%20Diploma%20in%20Leather%20Technology%28DM%29.pdf
908,Agriculture,2019/AGR/ASCI/3257,Agri Commodity Quality Assayer,https://nqr.gov.in/sites/default/files/QF-%20Agri%20Commodity%20Quality%20Assayer.pdf
909,Agriculture,2019/AGR/ASCI/3260,Produce Mapping Surveyor,https://nqr.gov.in/sites/default/files/QF-%20Produce%20Mapping%20Surveyor.pdf
910,Rubber Industry,2019/RUB/RSDC/3508,Rubber Calendering Operator,https://nqr.gov.in/sites/default/files/RSCQ2701-Rubber%20Calendering%20Operator.pdf
911,Agriculture,2019/AGR/ASCI/3244,Orchard Worker,https://nqr.gov.in/sites/default/files/QF-%20Orchard%20Worker.pdf
912,Gem & Jewellery,2019/GJ/GJSCI/3537,Auto Blocker – Diamond Processing,https://nqr.gov.in/sites/default/files/Final%20New%20Q%20file%20Auto%20Blocker.pdf
913,Agriculture,2019/AGR/ASCI/3271,Piggery Farmer,https://nqr.gov.in/sites/default/files/QF-%20Piggery%20Farmer.pdf
914,Gem & Jewellery,2019/GJ/GJSCI/3538,Blade Sawyer – Diamond Processing,https://nqr.gov.in/sites/default/files/Final%20New%20Q%20file%20Blade%20Sawyer.pdf
915,Leather,2019/LT/CSIR/3143,Leather Goods Table Work Operator,https://nqr.gov.in/sites/default/files/Qualification%20File%20-%20Leather%20Goods%20Table%20Work%20Operator.pdf
916,Gem & Jewellery,2019/GJ/GJSCI/3539,Inclusion Plotter – Diamond Processing,https://nqr.gov.in/sites/default/files/Final%20New%20Q%20file%20Inclusion%20Plotter.pdf
917,Agriculture,2019/AGR/ASCI/3253,Ripening Chamber Operator,https://nqr.gov.in/sites/default/files/QF-%20Ripening%20Chamber%20Operator.pdf
918,Gem & Jewellery,2019/GJ/GJSCI/3540,Laser Sawing Machine Operator – Diamond Processing,https://nqr.gov.in/sites/default/files/Final%20New%20Q%20file%20Laser%20Sawing%20machine%20operator.pdf
919,Gem & Jewellery,2019/GJ/GJSCI/3541,Spectrum Operator – Diamond Processing,https://nqr.gov.in/sites/default/files/Final%20New%20Q%20file%20Spectrum%20Operator.pdf
920,Oﬃce Administration & Facility Management,2019/OAFM/HKCL/3548,Communication Skills and Soft Skills,https://nqr.gov.in/sites/default/files/Revised%20QF%20V7%20Communication%20Skills%20and%20Soft%20Skills.pdf
921,Gem & Jewellery,2019/GJ/GJSCI/3536,Top Polisher – Diamond Processing,https://nqr.gov.in/sites/default/files/Final%20New%20Q%20file%20Top%20Polisher.pdf
922,Agriculture,2019/AGR/ASCI/3247,Temperate Fruit Grower,https://nqr.gov.in/sites/default/files/QF-%20%20Temerate%20Fruit%20Grower.pdf
923,Agriculture,2019/AGR/ASCI/3263,Timber Grower,https://nqr.gov.in/sites/default/files/QF-%20Timber%20Grower.pdf
924,Oﬃce Administration & Facility Management,2019/OAFM/HKCL/3549,eOffice Assistant,https://nqr.gov.in/sites/default/files/QF%20-%20%20eOffice%20Assistant.pdf
925,Power,2019/POW/PSSC/3484,Engineer- Transmission,https://nqr.gov.in/sites/default/files/Engineer%20Transmission_0.pdf
926,Power,2019/POW/PSSC/3481,Helper - Power System Transmission,https://nqr.gov.in/sites/default/files/Helper-%20Power%20System%20%28Transmission%29%20Q%20File_0.pdf
927,Power,2019/POW/PSSC/3490,Industrial Electrician,https://nqr.gov.in/sites/default/files/Industrial%20Electrician%20QFILE.pdf
928,Wood & Carpentry,2019/WC/FFSC/03318,Finisher – Bamboo Furniture (Option: Wood and Metal),https://nqr.gov.in/sites/default/files/Q-File_Finisher-%20Bamboo%20Furniture_L3.pdf
929,Power,2019/POW/PSSC/3478,Ash Handling Operator - Thermal Power Plant,https://nqr.gov.in/sites/default/files/Operator%20Ash%20Handling%20Q%20File.pdf
930,Wood & Carpentry,2019/WC/FFSC/03315,Lead Furniture Maker –Bamboo (Option: Round Bamboo Furniture Maker),https://nqr.gov.in/sites/default/files/Q-File_Lead%20Furniture%20Maker-%20Bamboo_L4.pdf
931,Power,2019/POW/PSSC/3477,Coal Handling Operator - Thermal Power Plant,https://nqr.gov.in/sites/default/files/Operator%20Coal%20Handling%20Q%20File.pdf
932,Electronics & HW,2019/EHW/ESSC/3314,Embedded Product Designer-Technical Lead,https://nqr.gov.in/sites/default/files/Q-File_Embedded%20Product%20Designer-Technical%20Lead%20%281%29.pdf
933,Power,2019/POW/PSSC/3475,Water Treatment Operator - Thermal Power Plant,https://nqr.gov.in/sites/default/files/Operator%20Water%20Treatment%20-%20Thermal%20Power%20Generation%20Q%20File.pdf
934,Power,2019/POW/PSSC/3486,Pipe Fitter (Power Plant),https://nqr.gov.in/sites/default/files/Pipe%20Fitter.pdf
935,Power,2019/POW/PSSC/3488,Power Plant High Pressure Welder,https://nqr.gov.in/sites/default/files/Power%20Plant%20High%20Pressure%20Welder.pdf
936,IT-ITeS,2019/ITES/ITSSC/3381,IoT – Domain Specialist,https://nqr.gov.in/sites/default/files/IT-ITeS_Q8210_IoT%20-%20Domain%20Specialist_Qualification%20File.pdf
937,IT-ITeS,2019/ITES/ITSSC/3380,IoT – Control Room Operator,https://nqr.gov.in/sites/default/files/IT-ITeS_Q8209_IoT%20-%20Control%20Room%20Operator_Qualification%20File.pdf
938,IT-ITeS,2019/ITES/ITSSC/3375,IoT - Hardware Solution Designer,https://nqr.gov.in/sites/default/files/IT-ITeS_Q8203_IoT%20-%20Hardware%20Solution%20Designer_Qualification%20File.pdf
939,IT-ITeS,2019/ITES/ITSSC/3379,IoT – Network Specialist,https://nqr.gov.in/sites/default/files/IT-ITeS_Q8208_IoT%20-%20Network%20Specialist_Qualification%20File.pdf
940,IT-ITeS,2019/ITES/ITSSC/3373,IoT - Product Manager,https://nqr.gov.in/sites/default/files/IT-ITeS_Q8201_IoT%20-%20Product%20Manager_Qualification%20File.pdf
941,IT-ITeS,2019/ITES/ITSSC/3378,IoT – Security Specialist,https://nqr.gov.in/sites/default/files/IT-ITeS_Q8207_IoT%20-%20Security%20Specialist_Qualification%20File.pdf
942,IT-ITeS,2019/ITES/ITSSC/3376,IoT - Software Analyst,https://nqr.gov.in/sites/default/files/IT-ITeS_Q8205_IoT%20-%20Software%20Analyst_Qualification%20File.pdf
943,IT-ITeS,2019/ITES/ITSSC/3374,IoT-Solution Architect,https://nqr.gov.in/sites/default/files/IT-ITeS_Q8202_IoT%20-%20Solution%20Architect_Qualification%20File.pdf
944,IT-ITeS,2019/ITES/ITSSC/3377,IoT – Test Analyst,https://nqr.gov.in/sites/default/files/IT-ITeS_Q8206_IoT%20-%20Test%20Analyst_Qualification%20File.pdf
945,Power,2019/POW/PSSC/3487,Power Plant Millwright Fitter,https://nqr.gov.in/sites/default/files/Power%20Plant%20Millwright%20Fitter%20Q%20File_0.pdf
946,IT-ITeS,2019/ITES/ITSSC/3369,Cloud Administrator,https://nqr.gov.in/sites/default/files/IT-ITeS_Q8306_Cloud%20Administrator_Final.pdf
947,Wood & Carpentry,2019/WC/FFSC/03321,Installer – Frameless Glass Doors/Windows (Options: Installer- Framed Doors/Windows),https://nqr.gov.in/sites/default/files/Q-File_Installer-%20Frameless%20Glass%20Doors-%20Windows_L4.pdf
948,Power,2019/POW/PSSC/3474,Technician - Power System Transmission,https://nqr.gov.in/sites/default/files/Power%20System%20Technician%20%28Transmission%29%20Q%20File.pdf
949,Power,2019/POW/PSSC/3489,Electrical Winder,https://nqr.gov.in/sites/default/files/Q%20File%20Electrical%20Winder_1.pdf
950,IT-ITeS,2019/ITES/ITSSC/3366,Cloud Application Developer,https://nqr.gov.in/sites/default/files/IT-ITeS_Q8303_Cloud%20Application%20Developer_Final.pdf
951,IT-ITeS,2019/ITES/ITSSC/3365,Cloud Architect,https://nqr.gov.in/sites/default/files/IT-ITeS_Q8302_Cloud%20Architect_Final.pdf
952,IT-ITeS,2019/ITES/ITSSC/3364,Cloud Consultant,https://nqr.gov.in/sites/default/files/IT-ITeS_Q8301_Cloud%20Consultant_Final.pdf
953,IT-ITeS,2019/ITES/ITSSC/3367,Cloud Infrastructure Analyst,https://nqr.gov.in/sites/default/files/IT-ITeS_Q8304_Cloud%20Infrastructure%20Analyst_Final.pdf
954,IT-ITeS,2019/ITES/ITSSC/3368,Cloud Migration Analyst,https://nqr.gov.in/sites/default/files/IT-ITeS_Q8305_Cloud%20Migration%20Analyst_Final.pdf
955,IT-ITeS,2019/ITES/ITSSC/3371,Cloud Risk & Compliance Officer,https://nqr.gov.in/sites/default/files/IT-ITeS_Q8308_Cloud%20Risk%20Compliance%20Officer_Final.pdf
956,"Transportation, Logistics & Warehousing",2019/TLW/LSC/3399,Cargo equipment handler,https://nqr.gov.in/sites/default/files/Cargo%20Equirpment%20Handler%20-%20QF-.pdf
957,IT-ITeS,2019/ITES/ITSSC/3372,Cloud Security Analyst,https://nqr.gov.in/sites/default/files/IT-ITeS_Q8309_Cloud%20Security%20Analyst_Final.pdf
958,IT-ITeS,2019/ITES/ITSSC/3370,Site-reliability Analyst,https://nqr.gov.in/sites/default/files/IT-ITeS_Q8307_Site-reliability%20Analyst_Final_1.pdf
959,"Transportation, Logistics & Warehousing",2019/TLW/LSC/3398,Cargo handler - manual,https://nqr.gov.in/sites/default/files/LSCQ3601_Cargo%20handler%20-%20manual_Q%20File..._0.pdf
960,"Transportation, Logistics & Warehousing",2019/TLW/LSC/3396,Cargo surveyor,https://nqr.gov.in/sites/default/files/LSCQ3801_Cargo%20Surveyor_Q%20File...pdf
961,"Transportation, Logistics & Warehousing",2019/TLW/LSC/3397,CFS and ICD supervisor,https://nqr.gov.in/sites/default/files/LSCQ3502_CFS%20and%20ICD%20supervisor_Q%20File..pdf
962,"Transportation, Logistics & Warehousing",2019/TLW/LSC/3389,Land Transport Supervisor,https://nqr.gov.in/sites/default/files/LSCQ1003_Land%20Transport%20Supervisor_Q%20File..pdf
963,"Transportation, Logistics & Warehousing",2019/TLW/LSC/3391,Liquid transport operator,https://nqr.gov.in/sites/default/files/LSCQ4301_Liquid%20transport%20operator_Q%20File..pdf
964,"Transportation, Logistics & Warehousing",2019/TLW/LSC/3395,Ship and yard planning supervisor,https://nqr.gov.in/sites/default/files/LSCQ3501_Ship%20and%20yard%20planning%20supervisor_Q%20File..pdf
965,Retail,2019/RET/RASCI /3519,Retail Sales Specialist cum Cashier,https://nqr.gov.in/sites/default/files/Retail%20Sales%20Specialist%20cum%20Cashier_QF_2.pdf
966,"Transportation, Logistics & Warehousing",2019/TLW/LSC/3390,Warehouse Supervisor,https://nqr.gov.in/sites/default/files/LSCQ0102_Warehouse%20Supervisor_Q%20File..pdf
967,Retail,2019/RET/RASCI /3518,Retail Associate cum Cashier,https://nqr.gov.in/sites/default/files/Retail%20Associate%20cum%20Cashier_QF.pdf
968,"Transportation, Logistics & Warehousing",2019/TLW/LSC/3393,Tank farm supervisor,https://nqr.gov.in/sites/default/files/LSCQ3512_Tank%20farm%20supervisor_Q%20File..pdf
969,Construction,2019/CON/CSDCI/3299,Grinder- Construction,https://nqr.gov.in/sites/default/files/NSQC%20File-%20Grinder-%20Construction.pdf
970,"Transportation, Logistics & Warehousing",2019/TLW/LSC/3392,Tank farm associate,https://nqr.gov.in/sites/default/files/LSCQ3511_Tank%20farm%20associate_Q%20File..pdf
971,Construction,2019/CON/CSDCI/3290,Helper Construction Painter,https://nqr.gov.in/sites/default/files/NSQC%20File-%20Helper%20Construction%20Painter.pdf
972,"Transportation, Logistics & Warehousing",2019/TLW/LSC/3394,Tank farm manager,https://nqr.gov.in/sites/default/files/LSCQ3513_Tank%20farm%20manager_Q%20File..pdf
973,Construction,2019/CON/CSDCI/3297,Helper Fabrication,https://nqr.gov.in/sites/default/files/NSQC%20File-%20Helper%20Fabrication.pdf
974,Construction,2019/CON/CSDCI/3303,Helper Façade Installer,https://nqr.gov.in/sites/default/files/NSQC%20File-%20Helper%20Fa%C3%A7ade%20Installer.pdf
975,Construction,2019/CON/CSDCI/3285,Assistant Bar Bender & Steel Fixer,https://nqr.gov.in/sites/default/files/NSQC%20File-%20Assistant%20Bar%20Bender%20and%20Steel%20Fixer.pdf
976,Construction,2019/CON/CSDCI/3302,Helper Interior Finishes,https://nqr.gov.in/sites/default/files/NSQC%20File-%20Helper%20Interior%20Finishes.pdf
977,Construction,2019/CON/CSDCI/3291,Assistant Construction Painter & Decorator,https://nqr.gov.in/sites/default/files/NSQC%20File-%20Assistant%20Construction%20Painter.pdf
978,Construction,2019/CON/CSDCI/3305,Assistant Façade Installer,https://nqr.gov.in/sites/default/files/NSQC%20File-%20Assistant%20Fa%C3%A7ade%20Installer.pdf
979,Construction,2019/CON/CSDCI/3281,Helper Mason,https://nqr.gov.in/sites/default/files/NSQC%20File-%20Helper%20Mason.pdf
980,Construction,2019/CON/CSDCI/3286,Helper Shuttering Carpenter,https://nqr.gov.in/sites/default/files/NSQC%20File-%20%20Helper%20Shuttering%20Carpenter.pdf
981,Construction,2019/CON/CSDCI/3304,Assistant False Ceiling and Drywall Installer,https://nqr.gov.in/sites/default/files/NSQC%20File-%20Assistant%20False%20Ceiling%20and%20Drywall%20Installer.pdf
982,Construction,2019/CON/CSDCI/3294,Khalasi (Assistant Rigger),https://nqr.gov.in/sites/default/files/NSQC%20File-%20Khalasi%20%28Assistant%20Rigger%29.pdf
983,Construction,2019/CON/CSDCI/3282,Assistant Mason,https://nqr.gov.in/sites/default/files/NSQC%20File-%20Assistant%20Mason.pdf
984,Construction,2019/CON/CSDCI/3283,Mason Concrete,https://nqr.gov.in/sites/default/files/NSQC%20File-%20Mason%20Concrete.pdf
985,Power,2019/POW/PSSC/3476,Supervisor -Street Light Installation and Maintenance,https://nqr.gov.in/sites/default/files/Supervisor%20Street%20Light%20Q%20file.pdf
986,Power,2019/POW/PSSC/3480,Surveyor -Transmission Line,https://nqr.gov.in/sites/default/files/Surveyor%20-Transmission%20Line.pdf
987,Power,2019/POW/PSSC/3473,Technical Helper - Thermal Power Generation,https://nqr.gov.in/sites/default/files/Technical%20Helper%20Thermal%20Power%20generation%20Q%20file.pdf
988,Power,2019/POW/PSSC/3485,"Technician Grid Substation- Operation & Maintenance (66/11 KV, 33/11 KV)",https://nqr.gov.in/sites/default/files/Technician%20Grid%20%20Substation%20Operation%20%26%20Maintenance-%20Power%20Distribution.pdf
989,Power,2019/POW/PSSC/3472,Technician Railway Track Electrification,https://nqr.gov.in/sites/default/files/Technician%20Railway%20Track%20Electrification%20Q%20File.pdf
990,Power,2019/POW/PSSC/3479,Technician – Power Substation Erection and Commissioning,https://nqr.gov.in/sites/default/files/Technician%20Substation%20Erection%20and%20Commissioning%20Power%20Distribution%20Q%20File.pdf
991,Power,2019/POW/PSSC/3482,Technician - Transmission Tower Construction,https://nqr.gov.in/sites/default/files/Technician%20Transmission%20Tower%20Construction%20Q%20File.pdf
992,Construction,2019/CON/CSDCI/3296,Rigger Precast Erection,https://nqr.gov.in/sites/default/files/NSQC%20File-Rigger%20%20Precast%20Erection..pdf
993,Construction,2019/CON/CSDCI/3295,Rigger - Structural Erection,https://nqr.gov.in/sites/default/files/NSQC%20File-Rigger%20-%20Structural%20%20Erection.pdf
994,Construction,2019/CON/CSDCI/3309,Store Assistant – Construction,https://nqr.gov.in/sites/default/files/NSQC%20File-Store%20Assistant%20-Construction.pdf
995,Construction,2019/CON/CSDCI/3293,Structural Steel NDT Tester- UT/MPT/DPT,https://nqr.gov.in/sites/default/files/NSQC%20File-%20%20Structural%20Steel%20NDT%20Tester.pdf
996,Construction,2019/CON/CSDCI/3288,Assistant Scaffolder- System,https://nqr.gov.in/sites/default/files/NSQC%20File-%20Assistant%20Scaffolder-%20System.pdf
997,Construction,2019/CON/CSDCI/3289,Assistant Scaffolder- Conventional,https://nqr.gov.in/sites/default/files/NSQC%20File-%20Assistant%20Scaffolder-%20Conventional.pdf
998,Construction,2019/CON/CSDCI/3287,Assistant Shuttering Carpenter,https://nqr.gov.in/sites/default/files/NSQC%20File-%20Assistant%20Shuttering%20Carpenter.pdf
999,Construction,2019/CON/CSDCI/3301,Assistant Technician - Prestress,https://nqr.gov.in/sites/default/files/NSQC%20File-%20Assistant%20Technician%20Prestress.pdf
1000,Construction,2019/CON/CSDCI/3298,Assistant construction Fitter,https://nqr.gov.in/sites/default/files/NSQC%20File-%20Asssitant%20Construction%20Fitter.pdf
1001,Construction,2019/CON/CSDCI/3300,Construction Fitter,https://nqr.gov.in/sites/default/files/NSQC%20File-%20Construction%20Fitter_0.pdf
1002,Construction,2019/CON/CSDCI/3292,Construction Painter and Decorator,https://nqr.gov.in/sites/default/files/NSQC%20File-%20Construction%20Painter%20%26%20Decorator.pdf
1003,Construction,2019/CON/CSDCI/3306,Doors & Windows Fixer,https://nqr.gov.in/sites/default/files/NSQC%20File-%20Doors%20%26%20Windows%20Fixer.pdf
1004,Media & Entertainment,2019/ME/MESC/3417,Actor,https://nqr.gov.in/sites/default/files/NSQF_Actor%20MES_Q0105_L4_V1.pdf
1005,Media & Entertainment,2019/ME/MESC/3407,COMMUNITY JOURNALIST,https://nqr.gov.in/sites/default/files/NSQF_Community%20Journalist.pdf
1006,IT-ITeS,2019/ITES/HKCL/3553,Certificate in Advanced Excel,https://nqr.gov.in/sites/default/files/Revised%20QF%20V7%20Advanced%20Excel.pdf
1007,Media & Entertainment,2019/ME/MESC/3423,Animator,https://nqr.gov.in/sites/default/files/Animator%20Qfile.pdf
1008,IT-ITeS,2019/ITES/HKCL/3554,AutoCAD Designer,https://nqr.gov.in/sites/default/files/Revised%20QF%20V7%20AutoCAD%20Designer.pdf
1009,Media & Entertainment,2019/ME/MESC/3416,Dancer,https://nqr.gov.in/sites/default/files/NSQF_Dancer_MES_Q1201_L3_V1.pdf
1010,IT-ITeS,2019/ITES/HKCL/3555,Programming Basics with C and C++,https://nqr.gov.in/sites/default/files/Revised%20QF%20V7%20C%20and%20C%2B%2B%20Programmer.pdf
1011,Media & Entertainment,2019/ME/MESC/3424,Art Director,https://nqr.gov.in/sites/default/files/NSQF%20Art%20Director.pdf
1012,Media & Entertainment,2019/ME/MESC/3408,DIGITAL MARKETING MANAGER,https://nqr.gov.in/sites/default/files/NSQF_Digital_Marketing_Manager_MES_Q0706_L6_V1_1.pdf
1013,IT-ITeS,2019/ITES/HKCL/3556,Certificate in Graphic Designing,https://nqr.gov.in/sites/default/files/Revised%20QF%20V7%20Certificate%20in%20Graphic%20Designing.pdf
1014,Media & Entertainment,2019/ME/MESC/3418,GRAPHIC DESIGNER,https://nqr.gov.in/sites/default/files/NSQF-Graphic%20Designer-MESQ0601_L4_V1.pdf
1015,Media & Entertainment,2019/ME/MESC/3425,Art Director (Set Designer),https://nqr.gov.in/sites/default/files/NSQF%20Art%20Director_%28Set%20Designer%29.pdf
1016,Media & Entertainment,2019/ME/MESC/3413,MUSIC COMPOSER,https://nqr.gov.in/sites/default/files/NSQF_Music_Composer.pdf
1017,Media & Entertainment,2019/ME/MESC/3414,MUSIC PRODUCER,https://nqr.gov.in/sites/default/files/NSQF_Music_Producer.pdf
1018,IT-ITeS,2019/ITES/HKCL/3557,Certificate in IT Network Support,https://nqr.gov.in/sites/default/files/Revised%20QF%20V7%20Certificate%20in%20IT%20Network%20Support.pdf
1019,IT-ITeS,2019/ITES/HKCL/3558,Certificate in IT Security Support,https://nqr.gov.in/sites/default/files/Revised%20QF%20V7%20Certificate%20in%20IT%20Security%20Support.pdf
1020,IT-ITeS,2019/ITES/HKCL/3559,Desktop Publisher using Adobe,https://nqr.gov.in/sites/default/files/Revised%20QF%20V7%20Desktop%20Publisher%20Using%20Adobe.pdf
1021,Leather,2019/LT/LSSC/3384,Qualification Pack- Post Tanning Machine Operator,https://nqr.gov.in/sites/default/files/LSSC_QF_Post%20Tanning%20Operator_Oct%202018.pdf
1022,Media & Entertainment,2019/ME/HKCL/3546,Photo Editor,https://nqr.gov.in/sites/default/files/Revised%20QF%20V7%20Photo%20Editor.pdf
1023,Media & Entertainment,2019/ME/HKCL/3547,Video Editor,https://nqr.gov.in/sites/default/files/Revised%20QF%20V7%20Video%20Editor.pdf
1024,Media & Entertainment,2019/ME/ASAP/3544,Manager 3D Prototyping,https://nqr.gov.in/sites/default/files/Q%20File%20-3D%20Prototyping%20Manager-converted%20%281%29.pdf
1025,IT-ITeS,2019/ITES/HKCL/3561,Certificate in IT Desktop & Hardware support,https://nqr.gov.in/sites/default/files/Revised%20QF%20V7%20IT%20Desktop%20%26%20Hardware%20Support.pdf
1026,IT-ITeS,2019/ITES/HKCL/3562,Certified Web Designer,https://nqr.gov.in/sites/default/files/Revised%20QF%20V7%20Web%20Designer.pdf
1027,IT-ITeS,2019/ITES/NIELIT /3170,Certificate course on Internet of Things (IoT) Applications,https://nqr.gov.in/sites/default/files/Certificate%20course%20on%20Internet%20of%20Things%20%28IoT%29%20Applications%20.pdf
1028,Media & Entertainment,2019/ME/ASAP/3543,Manager Pre-Press,https://nqr.gov.in/sites/default/files/Q%20File%20-Pre-Press%20Manager.pdf
1029,Mining,2019/MIN/SCMS/3471,Driver Special Vehicle (Explosive & Sprinkler),https://nqr.gov.in/sites/default/files/Driver%20Special%20Vehicle%20%28Explosive%20%26%20Sprinkler%29.pdf
1030,Media & Entertainment,2019/ME/ASAP/3545,Binding Machine Operator,https://nqr.gov.in/sites/default/files/Q%20File%20-Printing%20Binding%20Operator-converted.pdf
1031,Media & Entertainment,2019/ME/MESC/3415,MUSIC PROGRAMMER,https://nqr.gov.in/sites/default/files/NSQF_Music_Programmer.pdf
1032,Media & Entertainment,2019/ME/MESC/3432,Compositor,https://nqr.gov.in/sites/default/files/NSQF%20Compositor.pdf
1033,Media & Entertainment,2019/ME/MESC/3433,Director of Photography,https://nqr.gov.in/sites/default/files/NSQF%20director%20of%20photography.pdf
1034,Media & Entertainment,2019/ME/MESC/3411,Search Engine Marketing Executive,https://nqr.gov.in/sites/default/files/NSQF_Search%20Engine%20Marketing%20Executive.pdf
1035,Media & Entertainment,2019/ME/MESC/3434,Editor,https://nqr.gov.in/sites/default/files/NSQF%20Editor.pdf
1036,Media & Entertainment,2019/ME/MESC/3435,EXECUTIVE PRODUCER,https://nqr.gov.in/sites/default/files/NSQF%20Executive%20Producer.pdf
1037,Media & Entertainment,2019/ME/MESC/3436,Hair Dresser,https://nqr.gov.in/sites/default/files/NSQF%20Hair%20dresser.pdf
1038,Media & Entertainment,2019/ME/MESC/3438,Lighting artist,https://nqr.gov.in/sites/default/files/NSQF%20Lighting%20Artist.pdf
1039,Media & Entertainment,2019/ME/MESC/3439,LINE PRODUCER,https://nqr.gov.in/sites/default/files/NSQF%20Line%20Producer.pdf
1040,Media & Entertainment,2019/ME/MESC/3441,LOCATION MANAGER,https://nqr.gov.in/sites/default/files/NSQF%20Location%20Manager.pdf
