Title,Code,Description,Sector Name,Level,Maximum Notational Hours,Minimum Notational Hours,Version,Originally Approved,Valid Till,Awarding Body,Certifying Bodies,Proposed Occupation,Progression Pathway,Qualifcation Type,Adopted Qualifcation,Training Delivery Hours,NQR code,Qf link,pdf_number
Electric Vehicle Maintenance Technician,QG-3.5-AU-00539-2023-V1.1-ASDC,The individual performs maintenance of the electric vehicle (EV).,Automotive,Level 3.5,420 Hours,420 Hours,Version ,03 May 2023,03 May 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Plant and Equipment Maintenance,Automotive Maintenance Lead Technician-Electrical Level 4,Future Skills Qualification,N.A.,"{""Theory"":""130"",""Practical"":""200"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""30""}",QG-3.5-AU-00539-2023-V1.1-ASDC,https://www.nqr.gov.in/qualification/file/QFile_Electric%20Vehicle%20Maintenance%20Technician.pdf,523
Electric Vehicle Product Design Engineer,QG-4.5-AU-00542-2023-V1.1-ASDC,"The individual at this job is responsible for designing the automotive products using different simulation tools on the basis of requirements. The individual is also responsible for supporting the manager in ensuring that the designed product includes aspects related to telematics, human machine interface, ergonomics and design of EV.",Automotive,Level 4.5,510 Hours,510 Hours,Version ,23 Jun 2023,23 Jun 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Automotive Product Designing,Automotive Product Design Lead Engineer Level 5,Future Skills Qualification,N.A.,"{""Theory"":""160"",""Practical"":""260"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""30""}",QG-4.5-AU-00542-2023-V1.1-ASDC,https://www.nqr.gov.in/qualification/file/QFile_Electric%20Vehicle%20Product%20Design%20Engineer.pdf,524
Electric Vehicle Quality Control Inspector,QG-3.5-AU-00538-2023-V1.1-ASDC,The individual is responsible for conducting inspection and maintaining quality of the manufactured automotive products and related processes to deliver high quality products to customers.,Automotive,Level 3.5,420 Hours,420 Hours,Version ,03 May 2023,03 May 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Automotive Quality Assurance,Automotive Quality Control Lead Inspector Level 4.5,Future Skills Qualification,N.A.,"{""Theory"":""115"",""Practical"":""215"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""30""}",QG-3.5-AU-00538-2023-V1.1-ASDC,https://www.nqr.gov.in/qualification/file/QFile_Electric%20Vehicle%20Quality%20Control%20Inspector.pdf,525
Electric Vehicle Service Lead Technician,QG-4.5-AU-00545-2023-V1.1-ASDC,"The individual in this job is responsible for diagnosis and specialized repairs of mechanical, electrical and electronic faults in electric vehicles.",Automotive,Level 4.5,510 Hours,510 Hours,Version ,03 May 2023,03 May 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Technical Service & Repair,"Four Wheeler Service Master Technician Level 4.5, Automotive Service Advisor level 5, Automotive Service Supervisor Level 5",Future Skills Qualification,N.A.,"{""Theory"":""145"",""Practical"":""275"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""30""}",QG-4.5-AU-00545-2023-V1.1-ASDC,https://www.nqr.gov.in/qualification/file/QFile_Electric%20Vehicle%20Service%20Lead%20Technician.pdf,526
Electric Vehicle Test Engineer,QG-4.5-AU-00543-2023-V1.1-ASDC,The individual in this job is responsible for conducting various types of tests on the electric vehicle inside the laboratory as well as on the road.,Automotive,Level 4.5,510 Hours,510 Hours,Version ,23 Jun 2023,23 Jun 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Automotive Product Testing and Validation,"Automotive Product Design Lead Engineer Level 5,Automotive Material Testing Incharge level 5",Future Skills Qualification,N.A.,"{""Theory"":""160"",""Practical"":""260"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""30""}",QG-4.5-AU-00543-2023-V1.1-ASDC,https://www.nqr.gov.in/qualification/file/QFile_Electric%20Vehicle%20Test%20Engineer.pdf,527
Professional Gardening and Nursery Management,QG-4.5-AG-00777-2023-V1-ASCI,"This is a specialized education, designed to develop or strengthen specific career skills in
gardening, nursery and horticulture trades. This course is designed to provide participants/students with
the skills and knowledge they need to work in a variety of gardening-related occupations, such as
Gardener, Landscaper, Nursery manager/worker, Green/Poly house manager, etc.",Agriculture,Level 4.5,1200 Hours,1200 Hours,Version ,31 Aug 2023,31 Aug 2026,Agriculture Skill Council of India (ASCI),"Agriculture Skill Council of India
Unit No. 101, First Floor, Greenwoods Plaza, Block 'B', Greenwoods City, Sector 45, Gurugram -122009, Haryana","Landscaping, Gardening & Urban Farming","Professional Gardening and Nursery Management, The one-year professional course in Gardening and Nursery Management will lead to Diploma and Advanced Courses in Gardening and Nursery Management/Greenhouse Management/Plant Tissue Culture.

Career opportunities: The course on Gardening and Nursery Management can lead to a variety of career options, such as:
o	Landscaper
o	Groundskeeper
o	Nursery manager
o	Florist
o	Horticultural consultant
o	Environmental educator

Graduates of this program can find jobs in a variety of settings, including:
•	Nurseries
•	Landscape companies
•	Botanical gardens
•	Government agencies
•	Educational institutions
•	Private businesses: Graduates of this program can also start their own businesses.

Here are some of the specific job titles that graduates of this program can qualify for:

•	Gardener
•	Nursery Supervisor
•	Assistant Landscape architect
•	Horticulture Extension Service Provider
•	Assistant Botanical garden curator
•	Educational institution groundskeeper
•	Private business groundskeeper
•	Nursery owner
•	Landscape design business owner

The employment outlook for careers in gardening and nursery management is expected to grow faster than average in the coming years. This is due to the increasing demand for green spaces and the need for professionals who can manage and maintain them.",General Qualification,N.A.,"{""Theory"":""340"",""Practical"":""530"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""270""}",QG-4.5-AG-00777-2023-V1-ASCI,https://www.nqr.gov.in/qualification/file/LTT%20QF-Professional%20Gardening%20and%20Nursery%20Management.pdf,528
Jr. Technician (Smart Energy Meter),QG-03-PW-00868-2023-V1-PSSC,"A  Jr. Technician (Smart Energy Meter) meter technician, who is also known as Consumer Energy Meter Technician, performs installation and commissioning of conventional meters as well as smart meters in line with standard work practices.",Power,Level 3,420 Hours,420 Hours,Version ,31 Aug 2023,31 Aug 2026,Power Sector Skill Council (PSSC),"Chief Executive Officer
Power Sector Skill Council","Erection, Installation and Commissioning- Distribution","Vertical: 
Level 4: Lineman Meter
Horizontal:
Level 3 : Assistant Electricity Meter Reader, Billing & Cash Collector",General Qualification,N.A.,"{""Theory"":""120"",""Practical"":""210"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""30""}",QG-03-PW-00868-2023-V1-PSSC,https://www.nqr.gov.in/qualification/file/Qualification%20File%20New%20Template%20Jr.%20Technician%20%28Smart%20Energy%20Meter%29.pdf,529
Technician – Railway Track Electrification,QG-04-PW-00869-2023-V1-PSSC,"The individual in the job will perform various activities related to railway track electrification such as testing of soil, erection of mast, stringing of overhead wires, testing & inspection of the other OHE etc. in adherence to procedures and standards mentioned in Research Design and Standard Organization (RDSO). The individual also performs erection & commissioning of railway substations.",Power,Level 4,420 Hours,420 Hours,Version ,31 Aug 2023,31 Aug 2026,Power Sector Skill Council (PSSC),Power Sector Skill Council,"Erection, Installation and Commissioning- Distribution","Vertical: Level 5: Supervisor – Railway Track Electrification / Junior Engineer

Horizontal:Level 4: Industrial Electrician / Cable Jointer / Distribution Network Helper",General Qualification,N.A.,"{""Theory"":""120"",""Practical"":""180"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""60""}",QG-04-PW-00869-2023-V1-PSSC,https://www.nqr.gov.in/qualification/file/Qualification%20File%20New%20Template%20%28Technician%20-%20Railway%20Track%20Electrification%29.pdf,530
Automatic Stick Making M/C Operator,QG-2.5-HC-00840-2023-V2-HCSSC,"Automatic stick making machine operator is the one who produces bamboo stick using different machines such as cross cutting machine, Radial spiltting machine and stick making machine followed by polishing, bundling & Packaging.",Handicrafts & Carpets,Level 2.5,330 Hours,330 Hours,Version ,22 Aug 2019,31 Aug 2026,Handicrafts and Carpet Sector Skill Council (HCSSC),"Automatic stick making machine operator is the one who produces bamboo stick using different machines such as cross cutting machine, Radial spiltting machine and stick making machine followed by polishing, bundling & Packaging.",Stick Making,"Vertical Progression
Agarbatti Maker (Level 3)

Horizontal Progression 
NA",Upskilling Qualification,N.A.,"{""Theory"":""90"",""Practical"":""210"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""00""}",QG-2.5-HC-00840-2023-V2-HCSSC,https://www.nqr.gov.in/qualification/file/QF-%20Automatic%20Stick%20Making%20machine%20Operator.pdf,531
CAD Designer for Carpets,QG-04-HC-00841-2023-V2-HCSSC,The designer is a job role in designing department. The responsibility of designer is to create or produce design with the aid of Auto CAD as per repeat and carpet size and quality.,Handicrafts & Carpets,Level 4,540 Hours,540 Hours,Version ,22 Aug 2019,31 Aug 2026,Handicrafts and Carpet Sector Skill Council (HCSSC),"Handicrafts and Carpet Sector Skill Council-HCSSC
Tel number(s): 011-26139834
E-mail address: ceo@hcssc.in",Designing,"Vertical Progression 
Assistant designer and shade writer (carpets) 
 Horizontal Progression
 Carpet Quality Checker",Upskilling Qualification,N.A.,"{""Theory"":""120"",""Practical"":""360"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""00""}",QG-04-HC-00841-2023-V2-HCSSC,https://www.nqr.gov.in/qualification/file/QF-%20CAD%20Designer%20for%20Carpets.pdf,532
Craft Specialist- Paper Mache,QG-04-HC-00855-2023-V2-HCSSC,"The span of job for a paper mache craft specialist involves market study, perceiving trends underline, predict and forecast trends setting in for the product, identify theme and based on theme and forecast, develop designs for broad range of paper mache products in relation to the theme.",Handicrafts & Carpets,Level 4,510 Hours,510 Hours,Version ,22 Aug 2019,31 Aug 2026,Handicrafts and Carpet Sector Skill Council (HCSSC),"Handicrafts and Carpet Sector Skill Council-HCSSC
Tel number(s): 011-26139834
E-mail address: ceo@hcssc.in",Production,"Vertical Progression
Paper Mache Art Promoter (Level 4.5)
Horizontal Progression
Paper Mache Products Artisan (Level 4)",Upskilling Qualification,N.A.,"{""Theory"":""140"",""Practical"":""370"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""00""}",QG-04-HC-00855-2023-V2-HCSSC,https://www.nqr.gov.in/qualification/file/QF-%20Craft%20Specialist-%20Paper%20Mache.pdf,533
Designer (Woodware Products),QG-03-HC-00843-2023-V2-HCSSC,"The individual is responsible for the finalization of the design with respect to dimensions, colour, texture etc. A complete and first hand knowledge of all the designer softwares and materials required in the production process is required to come up with a perfect product.",Handicrafts & Carpets,Level 3,390 Hours,390 Hours,Version ,22 Aug 2019,31 Aug 2026,Handicrafts and Carpet Sector Skill Council (HCSSC),"Handicrafts and Carpet Sector Skill Council-HCSSC
Tel number(s): 011-26139834
E-mail address: ceo@hcssc.in",Designing,"Vertical Progression
 Wooden Toy Maker (Level 4)
Horizontal Progression 
Engraving/Carving/Etching Assistant (Wooden Handicraft) (Level 3)",Upskilling Qualification,N.A.,"{""Theory"":""120"",""Practical"":""210"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""00""}",QG-03-HC-00843-2023-V2-HCSSC,https://www.nqr.gov.in/qualification/file/QF-%20Designer%20%28Woodware%20Producst%29.pdf,534
Embossing Artisan (Metalware),QG-2.5-HC-00844-2023-V2-HCSSC,"The individual at work is responsible to create designs on the metal surface by raising one side of the metal using embossing tools, creating a raised design on the surface.",Handicrafts & Carpets,Level 2.5,300 Hours,300 Hours,Version ,22 Aug 2019,31 Aug 2026,Handicrafts and Carpet Sector Skill Council (HCSSC),"Handicrafts and Carpet Sector Skill Council-HCSSC
Tel number(s): 011-26139834
E-mail address: ceo@hcssc.in",Metal Craft Making,"Vertical Progression
Engraving and Stamping Artisan (Metalware)
(Level 4)
Horizontal Progression 
Cutting and Threading Operator (Metalware)
(Level 2.5)",Upskilling Qualification,N.A.,"{""Theory"":""90"",""Practical"":""180"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""00""}",QG-2.5-HC-00844-2023-V2-HCSSC,https://www.nqr.gov.in/qualification/file/QF-%20Embossing%20Aristan%20%28Metalware%29.pdf,535
Fitter and Rubbing Operator (Paper Mache),QG-03-HC-00834-2023-V2-HCSSC,"The Fitter and Rubbing Operator is responsible for creating wooden frame through various stages of wood cutting, polishing, joining and assembling which is subsequently embellished with artistic handiworks of paper Mache. The fitter is thus expected to be skilled carpenter well aware of configuration and size of the frame so as to be suitable for Subsequent work of paper Mache over them. He is responsible for making suitable solution out of various ingredients in defined proportion and applying the same to Sakhta prepared by Sakhta Saaz and subsequent process of polishing to impart a smoother looks to the surface.",Handicrafts & Carpets,Level 3,420 Hours,420 Hours,Version ,22 Aug 2019,31 Aug 2026,Handicrafts and Carpet Sector Skill Council (HCSSC),"Handicrafts and Carpet Sector Skill Council-HCSSC
Tel number(s): 011-26139834
E-mail address: ceo@hcssc.in",Product Designing and Development- Paper Mache,"Vertical Progression
Paper Mache craft specialist (Level 4)
Horizontal Progression
Lacquerer (Paper Mache)
(Level 3)",Upskilling Qualification,N.A.,"{""Theory"":""120"",""Practical"":""240"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""00""}",QG-03-HC-00834-2023-V2-HCSSC,https://www.nqr.gov.in/qualification/file/QF-%20Fitter%20and%20Rubbing%20Operator%20%28Paper%20Mache%29.pdf,536
Jute Screen Printer,QG-03-HC-00848-2023-V2-HCSSC,A jute Screen Printer is responsible for preparation of Screen and Printing Paste and applying that Printing Paste through Screens of specific design. He is also responsible for printing Jute fabric as per specific design without damaging either fabric or screen. He/She should know how to print without any print defect or design distortion.,Handicrafts & Carpets,Level 3,420 Hours,420 Hours,Version ,22 Aug 2019,31 Aug 2026,Handicrafts and Carpet Sector Skill Council (HCSSC),"Handicrafts and Carpet Sector Skill Council-HCSSC
Tel number(s): 011-26139834",Screen Printing,"Vertical Progression
Jute Products Artisan (Level 4)
Horizontal Progression
Jute Handloom Weaver
(Level 3)",Upskilling Qualification,N.A.,"{""Theory"":""120"",""Practical"":""240"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""00""}",QG-03-HC-00848-2023-V2-HCSSC,https://www.nqr.gov.in/qualification/file/QF-%20Jute%20Screen%20Printer.pdf,538
Lacquerer (Woodware),QG-2.5-HC-00851-2023-V2-HCSSC,"The worker has to carry out lacquer mixing and finishing operations by preparing and applying lacquer to wood products. The incumbent has to work with chemicals, follow health and safety guidelines and work with precision.",Handicrafts & Carpets,Level 2.5,390 Hours,300 Hours,Version ,22 Aug 2019,31 Aug 2026,Handicrafts and Carpet Sector Skill Council (HCSSC),"Handicrafts and Carpet Sector Skill Council-HCSSC
Tel number(s): 011-26139834
E-mail address: ceo@hcssc.in",Finishing,"Vertical Progression 
Designer (woodware products) (Level 3)
Horizontal Progression 
Seasoning and chemical treatment assistant (woodware)
(Level 2.5)",Upskilling Qualification,N.A.,"{""Theory"":""90"",""Practical"":""180"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""00""}",QG-2.5-HC-00851-2023-V2-HCSSC,https://www.nqr.gov.in/qualification/file/QF-%20Lacquerer%20%28woodware%29.pdf,539
Loom Supervisor - Knotted Carpet,QG-3.5-HC-00853-2023-V2-HCSSC,The loom supervisor is a job role in Weaving department. The responsibility of Loom supervisor is to ensure production of knotted carpets as per speciﬁed quality and productivity level as per prescribed timelines while maintaining cohesive team of weavers performing with commitment. He also ensures keeping in order the safety and security of workplace and working in compliance with organization policies and practices.,Handicrafts & Carpets,Level 3.5,420 Hours,420 Hours,Version ,22 Aug 2019,31 Aug 2026,Handicrafts and Carpet Sector Skill Council (HCSSC),"Handicrafts and Carpet Sector Skill Council-HCSSC
Tel number(s): 011-26139834
E-mail address: ceo@hcssc.in",Weaving,"Vertical Progression
Tufted weaving Assistant Supervisor(Carpets)
Horizontal Progression
Color Quality Incharge/Shade supervisor (Carpets)
(Level 3.5)",Upskilling Qualification,N.A.,"{""Theory"":""120"",""Practical"":""240"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""00""}",QG-3.5-HC-00853-2023-V2-HCSSC,https://www.nqr.gov.in/qualification/file/QF-Loom%20Supervisor%20-%20Knotted%20Carpet.pdf,540
Material Preparation Worker (Ceramics),QG-2.5-HC-00835-2023-V2-HCSSC,The individual at work is responsible for filtering out the unwanted particles from the grounded raw material using the iron sieve for further processing.,Handicrafts & Carpets,Level 2.5,420 Hours,330 Hours,Version ,25 Jun 2020,31 Aug 2026,Handicrafts and Carpet Sector Skill Council (HCSSC),"Handicrafts and Carpet Sector Skill Council-HCSSC
Tel number(s): 011-26139834
E-mail address: ceo@hcssc.in",Blue Pottery Making,"Handicrafts and Carpet Sector Skill Council-HCSSC
Tel number(s): 011-26139834
E-mail address: ceo@hcssc.in",Upskilling Qualification,N.A.,"{""Theory"":""90"",""Practical"":""210"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""00""}",QG-2.5-HC-00835-2023-V2-HCSSC,https://www.nqr.gov.in/qualification/file/QF-%20Material%20Preparation%20Worker%20%28Ceramics%29.pdf,541
Paint Line Operator (Paper Mache),QG-2.5-HC-00836-2023-V2-HCSSC,The Paint Line Operator is responsible for painting papermache objects with different shades of colour as per requirement. He should be capable of making appropriate colour combinations with the shades available in the market. The Brushing is responsible for applying paints as per design requirement of final pieces required by buyer.,Handicrafts & Carpets,Level 2.5,420 Hours,330 Hours,Version ,25 Jun 2020,31 Aug 2026,Handicrafts and Carpet Sector Skill Council (HCSSC),"Handicrafts and Carpet Sector Skill Council-HCSSC
Tel number(s): 011-26139834
E-mail address: ceo@hcssc.in",Product Designing and Development - Paper Mache,"Vertical Progression
Lacquerer (Paper Mache)
(Level 3)
Horizontal Progression
Sakhta Saaz (Paper Pulp)
(Level 2.5)",Upskilling Qualification,N.A.,"{""Theory"":""90"",""Practical"":""210"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""00""}",QG-2.5-HC-00836-2023-V2-HCSSC,https://www.nqr.gov.in/qualification/file/QF-Paint%20Line%20Operator%20%28Paper%20Mache%29.pdf,542
Paper Mache Art Designer,QG-03-HC-00854-2023-V2-HCSSC,"The Paper Mache Art designer is a job role belonging to designing section. The responsibility of designer is to create or produce design on suitable paper as per motif and then transforming design onto wooden base by cutting, joining and finishing.",Handicrafts & Carpets,Level 3,540 Hours,450 Hours,Version ,22 Aug 2019,31 Aug 2026,Handicrafts and Carpet Sector Skill Council (HCSSC),"Handicrafts and Carpet Sector Skill Council-HCSSC
Tel number(s): 011-26139834
E-mail address: ceo@hcssc.in",Production,"Vertical Progression
 Paper Mache Products Artisan
(Level 4) 
Horizontal Progression Paper
Fitter and Rubbing Operator (Paper Mache) (Level 3)",Upskilling Qualification,N.A.,"{""Theory"":""190"",""Practical"":""230"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""00""}",QG-03-HC-00854-2023-V2-HCSSC,https://www.nqr.gov.in/qualification/file/QF%20paper%20mache%20art%20designer.pdf,543
Paper Mache Art Promoter (Paper Mache),QG-4.5-HC-00837-2023-V2-HCSSC,"Paper Mache Art Promoter (Paper Mache) plays major role right from the process beginning with strategic planning for order booking to final shipment. The span of tasks for Paper Mache Art Promoter (Paper Mache) involves getting the right merchandise, in the right place, at the right time, in the right quantities at the right price.",Handicrafts & Carpets,Level 4.5,660 Hours,570 Hours,Version ,25 Jun 2020,31 Aug 2026,Handicrafts and Carpet Sector Skill Council (HCSSC),"Handicrafts and Carpet Sector Skill Council-HCSSC
Tel number(s): 011-26139834
E-mail address: ceo@hcssc.in",Marketing and Merchandising,"Vertical Progression
NA
Horizontal Progression
Paper Mache Products Artisan (Level 4)",Upskilling Qualification,N.A.,"{""Theory"":""180"",""Practical"":""330"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""00""}",QG-4.5-HC-00837-2023-V2-HCSSC,https://www.nqr.gov.in/qualification/file/QF-%20Paper%20Mache%20Art%20Promoter.pdf,544
Play  School Facilitator cum Caregiver,QG-04-TH-00574-2023-V1-DWSSC V 1.0,This is a short-term qualification to increase awareness on Play School Facilitator cum Caregiver.,Domestic Worker,Level 4,540 Hours,540 Hours,Version ,23 Jun 2023,23 Jun 2026,Domestic Worker Sector Skill Council (DWSSC),"Domestic Worker Sector Skill Council (DWSSC)
A-15, FIEE Complex, Okhla Industrial Area, Phase-II, New Delhi–110020",Child Care,School Head,General Qualification,N.A.,"{""Theory"":""130"",""Practical"":""230"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""120""}",QG-04-TH-00574-2023-V1-DWSSC V 1.0,https://www.nqr.gov.in/qualification/file/Revised%20New%20QF%20-Montessori%20school%20facilitator%20cum%20caregiver.pdf,545
"Technician: Battery (Alkaline) Maintenance, Processing and Recycling",QG-04-RI-00872-2023-V1-RSDC,The individual is involved in performing the production and maintenance of alkaline batteries as per the organizational standards and procedures. He/she also responsible for performing process of recycling of alkaline batteries.,Rubber Industry,Level 4,450 Hours,450 Hours,Version ,31 Aug 2023,31 Aug 2026,Rubber Chemical & Petrochemical Skills Development Council (RCPSDC),The individual is involved in performing the production and maintenance of alkaline batteries as per the organizational standards and procedures. He/she also responsible for performing process of recycling of alkaline batteries.,Manufacturing/process,"Supervisor Battery (Alkaline) Maintenance, Processing and Recycling",General Qualification,N.A.,"{""Theory"":""167"",""Practical"":""193"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""60""}",QG-04-RI-00872-2023-V1-RSDC,https://www.nqr.gov.in/qualification/file/QFile_Technician%20Battery.pdf,546
Web Video Production and Editing,QG-4.5-IT-00772-2023-V1-MSU,This is a short-term qualification to meet the growing need for web video producers and editors in the country,IT-ITeS,Level 4.5,570 Hours,570 Hours,Version ,31 Aug 2023,30 Aug 2026,Medhavi Skill University,Medhavi Skills University,Video Production and Editing,"Horizontal: Video Editor, Digital Video Content Developer, Digital Content Team Leader, Digital Content Manager
Vertical: Youtube Manager",General Qualification,N.A.,"{""Theory"":""160"",""Practical"":""150"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""200""}",QG-4.5-IT-00772-2023-V1-MSU,https://www.nqr.gov.in/qualification/file/QF%20-%20Web%20Video%20Production%20and%20Editing,547
Supervisor - 2 and 3 Wheeler Electric Vehicle Services,QG-05-AU-00773-2023-V1-MSU,This is a short-term qualification to meet the growing need for highly skilled lead technicians and supervisors in the 2 and 3-wheeler electric vehicle servicing and repair segment.,Automotive,Level 5,540 Hours,540 Hours,Version ,31 Aug 2023,30 Aug 2026,Medhavi Skill University,Medhavi Skills University,Electric Vehicle Services,"Vertical: Manager - 2 wheeler EV  Service and Repair; Manager – 3-wheeler EV  Service and Repair; Master Technician – 2 and 3 wheeler EV  Service and Repair

Horizontal: Lead Technician 4 Wheeler Service and Repair",General Qualification,N.A.,"{""Theory"":""148"",""Practical"":""216"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""116""}",QG-05-AU-00773-2023-V1-MSU,https://www.nqr.gov.in/qualification/file/New%20QF%20EV%20-%20English,548
Basic Sweets Maker,QG-3.5-FI-00142-2023-V2-SCTEO,"Odisha has a very rich culture of sweets. The state has indigenously prepared sweets and has claimed for GI tag. There is a good market of sweets and good number of Sweets making Industries are running. In the absence of skilled manpower or technician the entire work are managed by unskilled personnel. This course has been designed to generate Skilled manpower in the field of Sweets making with all associated knowledge and skill of handling of tools and equipment , hygiene and safety. The employment opportunity in this domain is higher. It would be a long-term course of one-year duration.",Food Industry,Level 3.5,1350 Hours,1350 Hours,Version ,31 Jan 2023,31 Jan 2026,"State Council for Technical Education & Vocational Training, Odisha","State Council for Technical Education & Training, Odisha, Bhubaneswar
Vice Chairman, SCTE&VT, Odisha
Near Raj Bhawan, Unit -8 , Bhubaneswar-751012, Odisha
0674-2392913 , E-Mail: secretarysctevt@gmail.com","Sweets Production Preparation, Sweets Making, Sweets Packaging and Labeling",NSQF Level 4 - Advanced Sweets Maker,General Qualification,N.A.,"{""Theory"":""240"",""Practical"":""840"",""EmployabilitySkills"":""120"",""OJT_Mandatory"":""150""}",QG-3.5-FI-00142-2023-V2-SCTEO,https://www.nqr.gov.in/qualification/file/updated%20Q%20File%20-%20Basic%20Sweets%20Maker..pdf,549
Gym Equipment Service Technician,QG-04-SP-00926-2023-V1-SPEFLSC,"Gym equipment service technician is the advance support professionals to the field technicians who cater to the day-to-day gym equipment repair requirement of various customers. Individuals in this role defines work processes and provides regular advice and guidance. They are also required to perform advance and complex equipment related issues including installing, configuring, diagnosing, repairing, and upgrading all organizational hardware and equipment ensuring optimal customer satisfaction. They also troubleshoot problem areas in a timely and accurate fashion and provide end-user training and assistance where required.","Sports, Physical Education, Fitness & Leisure",Level 4,450 Hours,450 Hours,Version ,31 Aug 2023,31 Aug 2026,"Sports, Physical Education, Fitness and Leisure Skills Council (SPEFL)","Sports, Physical Education, Fitness and Leisure Sector Skill Council (SPEFL-SC)
207, DLF Galleria Mall, Mayur Vihar Extension, Delhi- 110091",Gym Equipment Service,Level-5 (Vertical)- Gym Equipment Service Supervisor,General Qualification,N.A.,"{""Theory"":""90"",""Practical"":""210"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""90""}",QG-04-SP-00926-2023-V1-SPEFLSC,https://www.nqr.gov.in/qualification/file/Q%20File_Gym%20Equipment%20Service%20Technician.pdf,550
Physical Education Head,QG-07-SP-00917-2023-V1-SPEFLSC,"Physical Education Head or PE head oversees and promotes physical education and sports activities within the educational institution. They manage the curriculum, staff, programs, facilities, and student support within the domain of physical education, fostering a positive environment that encourages students to lead an active and healthy lifestyle.","Sports, Physical Education, Fitness & Leisure",Level 7,720 Hours,720 Hours,Version ,31 Aug 2023,31 Aug 2026,"Sports, Physical Education, Fitness and Leisure Skills Council (SPEFL)","Sports, Physical Education, Fitness and Leisure Sector Skill Council (SPEFL-SC)
207, DLF Galleria Mall, Mayur Vihar Extension, Delhi- 110091",Sports Coaching,Level-8 (Vertical)- Regional Head,General Qualification,N.A.,"{""Theory"":""150"",""Practical"":""360"",""EmployabilitySkills"":""90"",""OJT_Mandatory"":""120""}",QG-07-SP-00917-2023-V1-SPEFLSC,https://www.nqr.gov.in/qualification/file/Q%20File_Physical%20Education%20Head.pdf,551
Physical Education Trainer,QG-04-SP-00916-2023-V1-SPEFLSC,"Physical Education Trainer is responsible for planning, organizing, and delivering physical education programs to students of all ages, with the goal of promoting physical fitness, health, and overall wellness. They design and implement lesson plans that include a range of physical activities and sports, and work to create a safe, inclusive, and positive learning environment that fosters student growth and development.","Sports, Physical Education, Fitness & Leisure",Level 4,510 Hours,510 Hours,Version ,31 Aug 2023,31 Aug 2026,"Sports, Physical Education, Fitness and Leisure Skills Council (SPEFL)","Sports, Physical Education, Fitness and Leisure Sector Skill Council (SPEFL-SC)
207, DLF Galleria Mall, Mayur Vihar Extension, Delhi- 110091",Sports Coaching,Level-5 (Vertical)- Community Sports Coach,General Qualification,N.A.,"{""Theory"":""120"",""Practical"":""210"",""EmployabilitySkills"":""90"",""OJT_Mandatory"":""90""}",QG-04-SP-00916-2023-V1-SPEFLSC,https://www.nqr.gov.in/qualification/file/Q%20File_Physical%20Education%20Trainer.pdf,552
